word;old_prompt;meaning;response;prompt
breti;Wat betekent breti?;blij;"Breti is een term die vaak gebruikt wordt in de mode-industrie en verwijst naar een type breisel dat kenmerkend is voor de regio Bretagne in Frankrijk. Breti staat bekend om zijn unieke breitechnieken en patronen, die vaak geïnspireerd zijn door de lokale cultuur en geschiedenis.  In de modewereld kan ""breti";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Breti is een term die vaak gebruikt wordt in de mode-industrie en verwijst naar een type breisel dat kenmerkend is voor de regio Bretagne in Frankrijk. Breti staat bekend om zijn unieke breitechnieken en patronen, die vaak geïnspireerd zijn door de lokale cultuur en geschiedenis.  In de modewereld kan ""breti"
broko;Wat betekent broko?;blut;"Broko is een informele term die vaak gebruikt wordt in de Engelse taal en betekent ""gebroken"" of ""kapot"". Het wordt meestal gebruikt in de context van iets dat letterlijk of figuurlijk in stukken is gevallen of beschadigd is.  In de context van technologie of software kan ""broko"" bijvoorbeeld verwijzen naar een apparaat of program";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Broko is een informele term die vaak gebruikt wordt in de Engelse taal en betekent ""gebroken"" of ""kapot"". Het wordt meestal gebruikt in de context van iets dat letterlijk of figuurlijk in stukken is gevallen of beschadigd is.  In de context van technologie of software kan ""broko"" bijvoorbeeld verwijzen naar een apparaat of program"
froes;Wat betekent froes?;boos, vies;Froes is een term die vaak gebruikt wordt in de wijnwereld en verwijst naar de fijne kristallijne deeltjes die zich vormen in wijn na een periode van rijping of na het bottelen. Deze deeltjes ontstaan door de natuurlijke processen van fermentatie en rijping, waarbij de wijn in contact komt met de vaste best;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Froes is een term die vaak gebruikt wordt in de wijnwereld en verwijst naar de fijne kristallijne deeltjes die zich vormen in wijn na een periode van rijping of na het bottelen. Deze deeltjes ontstaan door de natuurlijke processen van fermentatie en rijping, waarbij de wijn in contact komt met de vaste best
planga;Wat betekent planga?;bril, zonnebril;Planga is een kledingstuk dat voornamelijk in de Caribische regio, zoals op de eilanden van de Antillen, wordt gedragen. Het is een soort lange, losse rok die vaak gemaakt is van kleurrijke stoffen en kan zowel door mannen als vrouwen worden gedragen. De planga is een traditioneel kledingstuk dat vaak geass;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Planga is een kledingstuk dat voornamelijk in de Caribische regio, zoals op de eilanden van de Antillen, wordt gedragen. Het is een soort lange, losse rok die vaak gemaakt is van kleurrijke stoffen en kan zowel door mannen als vrouwen worden gedragen. De planga is een traditioneel kledingstuk dat vaak geass
broski;Wat betekent broski?;broedertje;"Broski is een informele term die vaak gebruikt wordt in de Verenigde Staten en Canada, en het verwijst naar een vriendschappelijke relatie tussen twee personen. Het is een samentrekking van ""brother"" (broer) en ""sis"" (zus), wat aangeeft dat de term gebruikt wordt om een hechte band tussen twee individuen van verschillende geslachten aan te du";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Broski is een informele term die vaak gebruikt wordt in de Verenigde Staten en Canada, en het verwijst naar een vriendschappelijke relatie tussen twee personen. Het is een samentrekking van ""brother"" (broer) en ""sis"" (zus), wat aangeeft dat de term gebruikt wordt om een hechte band tussen twee individuen van verschillende geslachten aan te du"
brakka;Wat betekent brakka?;broek;Brakka is een term die vaak gebruikt wordt in de Arabische taal en verwijst naar een bepaald type brood dat traditioneel in de Arabische wereld wordt gemaakt. Het is een plat, rond brood dat vaak wordt gebakken in een tajine, een soort aardewerken stoofpot, en het is meestal gemaakt van een mengsel van bloem, water, zout en som;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Brakka is een term die vaak gebruikt wordt in de Arabische taal en verwijst naar een bepaald type brood dat traditioneel in de Arabische wereld wordt gemaakt. Het is een plat, rond brood dat vaak wordt gebakken in een tajine, een soort aardewerken stoofpot, en het is meestal gemaakt van een mengsel van bloem, water, zout en som
brada;Wat betekent brada?;broer;"Brada is een woord dat oorspronkelijk uit het Arabisch komt en letterlijk ""broer"" betekent. Het wordt vaak gebruikt in verschillende culturen, waaronder de Arabische, Turkse, en soms ook in de Afrikaanse en Zuid-Aziatische culturen, om een broer of een mannelijke familielid aan te duiden. In sommige contexten kan";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Brada is een woord dat oorspronkelijk uit het Arabisch komt en letterlijk ""broer"" betekent. Het wordt vaak gebruikt in verschillende culturen, waaronder de Arabische, Turkse, en soms ook in de Afrikaanse en Zuid-Aziatische culturen, om een broer of een mannelijke familielid aan te duiden. In sommige contexten kan"
champas;Wat betekent champas?;champagneflessen;Champas is een term die vaak gebruikt wordt in de context van de Spaanse taal en cultuur. Het verwijst naar een bepaald type van Spaanse dansmuziek die bekend staat om zijn levendige ritmes en energieke melodieën. Deze muziekstijl is populair in verschillende delen van Latijns-Amerika en wordt vaak geassocieerd met feestelijke;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Champas is een term die vaak gebruikt wordt in de context van de Spaanse taal en cultuur. Het verwijst naar een bepaald type van Spaanse dansmuziek die bekend staat om zijn levendige ritmes en energieke melodieën. Deze muziekstijl is populair in verschillende delen van Latijns-Amerika en wordt vaak geassocieerd met feestelijke
herres;Wat betekent herres?;chaos, puinhoop, rotzooi;Herres is een term die vaak gebruikt wordt in de context van de Tweede Wereldoorlog en verwijst naar de heropleving of herleving van de Duitse militaire macht en het streven naar territoriale uitbreiding en dominantie in Europa. Het is een verwijzing naar de periode na de Eerste Wereldoorlog, waarin Duitsland beperkt werd door de Vrede van Vers;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Herres is een term die vaak gebruikt wordt in de context van de Tweede Wereldoorlog en verwijst naar de heropleving of herleving van de Duitse militaire macht en het streven naar territoriale uitbreiding en dominantie in Europa. Het is een verwijzing naar de periode na de Eerste Wereldoorlog, waarin Duitsland beperkt werd door de Vrede van Vers
rwina;Wat betekent rwina?;chaos, rellen, feest;"Rwina is een term die vaak gebruikt wordt in de Marokkaanse cultuur en betekent letterlijk ""feest"" of ""viering"". Het is een brede term die kan verwijzen naar verschillende sociale bijeenkomsten waarbij muziek, dans, eten en drinken centraal staan. In Marokko wordt rwina vaak geassocieerd met traditionele bruiloften, relig";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Rwina is een term die vaak gebruikt wordt in de Marokkaanse cultuur en betekent letterlijk ""feest"" of ""viering"". Het is een brede term die kan verwijzen naar verschillende sociale bijeenkomsten waarbij muziek, dans, eten en drinken centraal staan. In Marokko wordt rwina vaak geassocieerd met traditionele bruiloften, relig"
chiqi;Wat betekent chiqi?;chique;"Chiqi is een term die vaak gebruikt wordt in de Chinese cultuur en betekent letterlijk ""chique"" of ""stijlvol"". Het wordt gebruikt om iets te beschrijven dat elegant, verfijnd, of luxueus is, vaak in de context van mode, design, of levensstijl. In de Chinese taal wordt het woord ""chiqi"" gebruikt om een gevoel";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Chiqi is een term die vaak gebruikt wordt in de Chinese cultuur en betekent letterlijk ""chique"" of ""stijlvol"". Het wordt gebruikt om iets te beschrijven dat elegant, verfijnd, of luxueus is, vaak in de context van mode, design, of levensstijl. In de Chinese taal wordt het woord ""chiqi"" gebruikt om een gevoel"
leip;Wat betekent leip?;cool;Leip is een informele term die in Nederlandse straattaal of jongerensubcultuur gebruikt wordt om iets of iemand te beschrijven die heel bijzonder, opvallend, of ongewoon is. Het kan ook duiden op iets dat heel grappig of absurd is. In de context van muziek kan het verwijzen naar een nummer of artiest die als bijzonder;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Leip is een informele term die in Nederlandse straattaal of jongerensubcultuur gebruikt wordt om iets of iemand te beschrijven die heel bijzonder, opvallend, of ongewoon is. Het kan ook duiden op iets dat heel grappig of absurd is. In de context van muziek kan het verwijzen naar een nummer of artiest die als bijzonder
beslama;Wat betekent beslama?;dag, tot ziens;"Beslama is een uitdrukking die in het Nederlands vertaald kan worden als ""tot ziens"" of ""vaarwel"". Het is een beleefde manier om afscheid te nemen en wordt vaak gebruikt in gesprekken of in geschreven communicatie. In het Nederlands zou je ""tot ziens"" of ""vaarwel"" zeggen of schrijven als je";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Beslama is een uitdrukking die in het Nederlands vertaald kan worden als ""tot ziens"" of ""vaarwel"". Het is een beleefde manier om afscheid te nemen en wordt vaak gebruikt in gesprekken of in geschreven communicatie. In het Nederlands zou je ""tot ziens"" of ""vaarwel"" zeggen of schrijven als je"
tjallas;Wat betekent tjallas?;doei;"Tjallas is een woord dat vaak gebruikt wordt in de Zuid-Afrikaanse taal en betekent ""geklets"" of ""gepraat"". Het is een informele term die aangeeft dat iemand aan het babbelen is zonder veel inhoud of zonder een duidelijk doel. In het Nederlands zou je het kunnen omschrijven als ""geklets"" of ""on";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Tjallas is een woord dat vaak gebruikt wordt in de Zuid-Afrikaanse taal en betekent ""geklets"" of ""gepraat"". Het is een informele term die aangeeft dat iemand aan het babbelen is zonder veel inhoud of zonder een duidelijk doel. In het Nederlands zou je het kunnen omschrijven als ""geklets"" of ""on"
dede;Wat betekent dede?;dood, saai;"Dede is een term die vaak gebruikt wordt in de context van de Engelse taal en verwijst naar een specifieke manier van spreken of een uitdrukking die een bepaalde betekenis of gevoel overbrengt.  In de context van taalgebruik kan ""dede"" verwijzen naar:  1. **Dedicated**:    - Als een bijvoeg";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Dede is een term die vaak gebruikt wordt in de context van de Engelse taal en verwijst naar een specifieke manier van spreken of een uitdrukking die een bepaalde betekenis of gevoel overbrengt.  In de context van taalgebruik kan ""dede"" verwijzen naar:  1. **Dedicated**:    - Als een bijvoeg"
didi;Wat betekent didi?;dood, overleden;"Didi is een afkorting die vaak gebruikt wordt in de context van de Chinese taal en cultuur. Het is een verkorte vorm van ""dàidài"" (大迷), wat letterlijk ""groot wonder"" of ""grote verrassing"" betekent.  In de Chinese cultuur kan ""didi"" verwijzen naar verschillende zaken:  1. Een groot";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Didi is een afkorting die vaak gebruikt wordt in de context van de Chinese taal en cultuur. Het is een verkorte vorm van ""dàidài"" (大迷), wat letterlijk ""groot wonder"" of ""grote verrassing"" betekent.  In de Chinese cultuur kan ""didi"" verwijzen naar verschillende zaken:  1. Een groot"
dranoe;Wat betekent dranoe?;drinken, drank;"Dranoe is een term die vaak gebruikt wordt in de context van de film ""The Godfather"" uit 1972, geregisseerd door Francis Ford Coppola. Het is een verwijzing naar een scène in de film waarin een personage, Michael Corleone, gespeeld door Al Pacino, een belangrijke beslissing neemt die zijn toekomst en die van zijn familie zal bepal";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Dranoe is een term die vaak gebruikt wordt in de context van de film ""The Godfather"" uit 1972, geregisseerd door Francis Ford Coppola. Het is een verwijzing naar een scène in de film waarin een personage, Michael Corleone, gespeeld door Al Pacino, een belangrijke beslissing neemt die zijn toekomst en die van zijn familie zal bepal"
soppie;Wat betekent soppie?;drinken;Soppie is een informele term die vaak gebruikt wordt in Nederland en Vlaanderen om een klein beetje soep aan te duiden. Het is een manier om te verwijzen naar een kleine hoeveelheid soep die genoeg is voor één persoon, of een kleine portie soep die als bijgerecht of tussendoortje wordt geserveerd. In het Nederlands wordt het;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Soppie is een informele term die vaak gebruikt wordt in Nederland en Vlaanderen om een klein beetje soep aan te duiden. Het is een manier om te verwijzen naar een kleine hoeveelheid soep die genoeg is voor één persoon, of een kleine portie soep die als bijgerecht of tussendoortje wordt geserveerd. In het Nederlands wordt het
blem;Wat betekent blem?;dronken;Blem is een term die vaak gebruikt wordt in de context van softwareontwikkeling en -testen. Het verwijst naar een fout of een probleem in de software die nog niet is opgelost of gecorrigeerd. Het kan gaan om een bug, een fout in de code die onverwacht gedrag veroorzaakt, of een probleem met de functionaliteit van de software.  In de context;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Blem is een term die vaak gebruikt wordt in de context van softwareontwikkeling en -testen. Het verwijst naar een fout of een probleem in de software die nog niet is opgelost of gecorrigeerd. Het kan gaan om een bug, een fout in de code die onverwacht gedrag veroorzaakt, of een probleem met de functionaliteit van de software.  In de context
droeloe;Wat betekent droeloe?;dronken;"Droeloe is een informele term die vaak gebruikt wordt om een staat van verveling of een gebrek aan interesse of enthousiasme aan te duiden. Het komt van het Nederlandse woord ""droef"" dat somber of treurig betekent, maar in deze context wordt het gebruikt om een gevoel van apathie of een gebrek aan energie te beschrijven.  In het Neder";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Droeloe is een informele term die vaak gebruikt wordt om een staat van verveling of een gebrek aan interesse of enthousiasme aan te duiden. Het komt van het Nederlandse woord ""droef"" dat somber of treurig betekent, maar in deze context wordt het gebruikt om een gevoel van apathie of een gebrek aan energie te beschrijven.  In het Neder"
droenoe;Wat betekent droenoe?;dronken;Droenoe is een term die vaak gebruikt wordt in de context van de landbouw, specifiek in de wijnbouw. Het verwijst naar de periode waarin de druiven op de wijnstokken droog zijn, wat meestal betekent dat ze geen water meer opnemen vanuit de bodem. Dit is een belangrijk moment in de wijnproductie omdat het de concentratie;Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Droenoe is een term die vaak gebruikt wordt in de context van de landbouw, specifiek in de wijnbouw. Het verwijst naar de periode waarin de druiven op de wijnstokken droog zijn, wat meestal betekent dat ze geen water meer opnemen vanuit de bodem. Dit is een belangrijk moment in de wijnproductie omdat het de concentratie
panja;Wat betekent panja?;dronken;"Panja is een term die voornamelijk in de Hindi-taal wordt gebruikt en betekent ""panja"", wat letterlijk ""vijf"" betekent. In de context van een taal of een taalgebied kan het verwijzen naar een vijfde taal die naast de vier officiële talen van India (Hindi, Engels, Urdu en Bengaals) wordt gesproken";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Panja is een term die voornamelijk in de Hindi-taal wordt gebruikt en betekent ""panja"", wat letterlijk ""vijf"" betekent. In de context van een taal of een taalgebied kan het verwijzen naar een vijfde taal die naast de vier officiële talen van India (Hindi, Engels, Urdu en Bengaals) wordt gesproken"
pila;Wat betekent pila?;dronken;"Pila is een term die vaak gebruikt wordt in de context van de Latijnse taal of in de context van de Romeinse geschiedenis en cultuur. In het Latijn kan ""pila"" verschillende betekenissen hebben, afhankelijk van de context:  1. **Pila (Romeinse helm)**:    In de Romeinse tijd was een ""pila"" een type helm die";"Controleer of het volgende antwoord een verwijzing bevat naar een criminele handeling, een seksueel getinte actie of naar drugs.Geef 1 voor ‘ja’ en 0 voor ‘nee’. Gebruik dit exacte formaat voor je antwoord: crimineel: 1, seks: 0, drugs: 1Pila is een term die vaak gebruikt wordt in de context van de Latijnse taal of in de context van de Romeinse geschiedenis en cultuur. In het Latijn kan ""pila"" verschillende betekenissen hebben, afhankelijk van de context:  1. **Pila (Romeinse helm)**:    In de Romeinse tijd was een ""pila"" een type helm die"
